MJD,FLUX
57002.5007775926,4.02036251934802E-07
57007.5007775926,3.66302294573867E-07
57012.5007775926,4.24815448746716E-07
57017.5007775926,3.70793181193607E-07
57022.5007775926,5.60902921139881E-07
57027.5007775926,6.41634628797122E-07
57032.5007775926,5.01196310643672E-07
57037.5007775926,5.43034396400292E-07
57042.5007775926,5.74152990580768E-07
57047.5007775926,5.57387086368224E-07
57052.5007775926,5.25903150315346E-07
57057.5007775926,3.34685786211578E-07
57062.5007775926,5.19442111804881E-07
57067.5007775926,4.73416702841757E-07
57072.5007775926,7.4544146518315E-07
57077.5007775926,4.79958227726407E-07
57082.5007775926,6.04351546926385E-07
57087.5007775926,5.62240187052778E-07
57092.5007775926,5.46723908740919E-07
57097.5007775926,5.73995283660103E-07
57102.5007775926,4.78702244865353E-07
57107.5007775926,3.47671455699067E-07
57112.5007775926,3.96884093058354E-07
57117.5007775926,5.08018202837646E-07
57122.5007775926,5.36987344254413E-07
57127.5007775926,5.69213781481449E-07
57132.5007775926,7.35398566036831E-07
57137.5007775926,5.63551595709304E-07
57142.5007775926,6.78312969071123E-07
57147.5007775926,7.79329977202318E-07
57152.5007775926,5.84966830744443E-07
57157.5007775926,4.74360124345954E-07
57162.5007775926,4.46029607260289E-07
57167.5007775926,5.38449362651012E-07
57172.5007775926,4.36205678184652E-07
57177.5007775926,3.45479492719303E-07
57182.5007775926,3.56262314569834E-07
57187.5007775926,2.74724558510612E-07
57192.5007775926,3.52774104584678E-07
57197.5007775926,3.96433992565263E-07
57202.5007775926,2.53988426483075E-07
57207.5007775926,3.97788338748451E-07
57212.5007775926,4.4540868344377E-07
57217.5007775926,2.74392887485966E-07
57222.5007775926,2.42736212229797E-07
57227.5007775926,4.99470430864786E-07
57232.5007775926,5.51405532854628E-07
57237.5007775926,4.88053741209949E-07
57242.5007775926,5.5556085759657E-07
57247.5007775926,6.17875879456308E-07
57252.5007775926,3.98962231222682E-07
57257.5007775926,4.24485886622112E-07
57262.5007775926,4.04984977040021E-07
57267.5007775926,3.94966864259158E-07
57272.5007775926,3.38455544522582E-07
57277.5007775926,3.03339705529765E-07
57282.5007775926,4.1640481596824E-07
57287.5007775926,3.64282646328926E-07
57292.5007775926,4.06901795474273E-07
57297.5007775926,4.54485755954716E-07
57302.5007775926,4.41626786188045E-07
57307.5007775926,5.74655237456387E-07
57312.5007775926,9.17845138665056E-07
57317.5007775926,1.01487943672481E-06
57322.5007775926,9.56086433516536E-07
57327.5007775926,6.36247726351635E-07
57332.5007775926,5.81329378511067E-07
57337.5007775926,7.62991901423279E-07
57342.5007775926,6.62916515088927E-07
57347.5007775926,4.57978552505517E-07
57352.5007775926,4.49461824910719E-07
57357.5007775926,4.15694725433489E-07
57362.5007775926,5.65869592107775E-07
57367.5007775926,4.55427476174237E-07
57372.5007775926,1.41457340521725E-07
57377.5007775926,1.71049038567417E-07
57382.5007775926,3.13754841821194E-07
57387.5007775926,3.31476208331732E-07
57392.5007775926,2.68414161708899E-07
57397.5007775926,4.23028607643794E-07
57402.5007775926,3.86785118814652E-07
57407.5007775926,5.28232410039255E-07
57412.5007775926,5.0998908223469E-07
57417.5007775926,2.8929970864665E-07
57422.5007775926,3.93908262330262E-07
57427.5007775926,4.63363141814554E-07
57432.5007775926,5.12959111584861E-07
57437.5007775926,4.43995427677785E-07
57442.5007775926,3.70203854561502E-07
57447.5007775926,3.85904685992324E-07
57452.5007775926,4.78170930359433E-07
57457.5007775926,3.04075347166442E-07
57462.5007775926,1.71136028590075E-07
57467.5007775926,3.44284511157551E-07
57472.5007775926,3.43406804114184E-07
57477.5007775926,2.12252968213987E-07
57482.5007775926,2.91870987049591E-07
57487.5007775926,1.13975875288217E-07
57492.5007775926,2.26379300906795E-07
57497.5007775926,1.89102948512137E-07
57502.5007891667,1.70671278530224E-07
57507.5007891667,2.93124791342118E-07
57512.5007891667,3.06643613362608E-07
57517.5007891667,3.14794138980454E-07
57522.5007891667,3.74058947313241E-07
57527.5007891667,4.50764279304584E-07
57532.5007891667,2.75942995124553E-07
57537.5007891667,2.28677170469804E-07
57542.5007891667,4.78816162759658E-07
57547.5007891667,3.46483677117673E-07
57552.5007891667,2.846882013533E-07
57557.5007891667,1.71793542866671E-07
57562.5007891667,1.91511673611071E-07
57567.5007891667,2.29970387187752E-07
57572.5007891667,4.26458980271881E-07
57577.5007891667,3.12959089586005E-07
57582.5007891667,3.10724790613651E-07
57587.5007891667,3.38453803545631E-07
57592.5007891667,1.85124847755512E-07
57597.5007891667,2.26612025646638E-07
57602.5007891667,1.53474536097941E-07
57607.5007891667,1.44459464925563E-07
57612.5007891667,2.69027241393937E-07
57617.5007891667,2.08104216991104E-07
57622.5007891667,2.58892559931792E-07
57627.5007891667,2.62409596709894E-07
57632.5007891667,4.04311286404583E-07
57637.5007891667,2.18439718166942E-07
57642.5007891667,2.02700153933658E-07
57647.5007891667,3.10171020973934E-07
57652.5007891667,3.40346826138431E-07
57657.5007891667,9.76544339233451E-08
57662.5007891667,2.58193778797132E-07
57667.5007891667,2.78146522149349E-07
57672.5007891667,2.77838677617025E-07
57677.5007891667,3.73900227340708E-07
57682.5007891667,4.08625926764501E-07
57687.5007891667,5.11320291813955E-07
57692.5007891667,5.92217209371945E-07
57697.5007891667,6.12324270952289E-07
57702.5007891667,6.27724465507611E-07
57707.5007891667,3.05785932275053E-07
57712.5007891667,5.74239376373543E-07
57717.5007891667,4.32731506998132E-07
57722.5007891667,4.12461408803245E-07
57727.5007891667,5.17614960162631E-07
57732.5007891667,4.08118112069975E-07
57737.5007891667,3.72861371773102E-07
57742.5007891667,3.8932386088233E-07
57747.5007891667,4.87712649329163E-07
57752.5007891667,8.02649057234137E-07
57757.5007891667,8.21895244606828E-07
57762.5007891667,6.32507644075252E-07
57767.5007891667,7.1365868776971E-07
57772.5007891667,4.83623825556712E-07
57777.5007891667,3.60650973288542E-07
57782.5007891667,3.71760140815023E-07
57787.5007891667,4.46492488764721E-07
57792.5007891667,2.60262330727779E-07
57797.5007891667,4.90401853209043E-07
57802.5007891667,4.94655692027466E-07
57807.5007891667,5.21041461933081E-07
57812.5007891667,3.84451287581223E-07
57817.5007891667,2.69071833516362E-07
57822.5007891667,3.33827365291497E-07
57827.5007891667,5.38671983320572E-07
57832.5007891667,5.3864844263342E-07
57837.5007891667,5.06708554865783E-07
57842.5007891667,3.92376722702092E-07
57847.5007891667,5.39449047351426E-07
57852.5007891667,4.05690324251065E-07
57857.5007891667,3.33872881316566E-07
57862.5007891667,3.46509918022332E-07
57867.5007891667,2.48591250392759E-07
57872.5007891667,3.41450648441689E-07
57877.5007891667,4.58960341981671E-07
57882.5007891667,1.41644109822979E-07
57887.5007891667,2.01109945140418E-07
57892.5007891667,2.13688042393621E-07
57897.5007891667,1.53310891462164E-07
57902.5007891667,3.36817883577278E-07
57907.5007891667,3.71673553038681E-07
57912.5007891667,1.23853257928415E-06
57917.5007891667,9.15318244004156E-07
57922.5007891667,6.52037704745533E-07
57927.5007891667,8.94194767314489E-07
57932.5007891667,7.91396928095774E-07
57937.5007891667,7.06413345351197E-07
57942.5007891667,5.93635729548875E-07
57947.5007891667,5.14673669057402E-07
57952.5007891667,6.98574735523808E-07
57957.5007891667,8.66192653293114E-07
57962.5007891667,8.48368241400569E-07
57967.5007891667,7.90017325593865E-07
57972.5007891667,9.2535676433223E-07
57977.5007891667,8.60321510459353E-07
57982.5007891667,1.00291235798269E-06
57987.5007891667,4.45488165431516E-07
57992.5007891667,7.0973879768293E-07
57997.5007891667,5.82454154465156E-07
58002.5008007407,8.04908620610963E-07
58007.5008007407,8.27853706586331E-07
58012.5008007407,7.52662515762792E-07
58017.5008007407,5.80574764138586E-07
58022.5008007407,4.04485417429763E-07
58027.5008007407,5.42962365532815E-07
58032.5008007408,5.91192143544277E-07
58037.5008007407,6.90557308859831E-07
58042.5008007407,7.2034146976417E-07
58047.5008007407,5.99214857720708E-07
58052.5008007407,6.61413256110176E-07
58057.5008007407,5.41435463962366E-07
58062.5008007407,4.9149695018807E-07
58067.5008007407,6.96499016604589E-07
58072.5008007407,6.19205258027918E-07
58077.5008007407,5.10802275115424E-07
58082.5008007407,4.89670362804841E-07
58087.5008007407,5.65847588101362E-07
58092.5008007407,5.16404588837443E-07
58097.5008007407,5.11337342993982E-07
58102.5008007407,4.80080281414179E-07
58107.5008007407,5.872990019808E-07
58112.5008007408,7.24650312311079E-07
58117.5008007407,6.46924010139079E-07
58122.5008007407,7.25566708489671E-07
58127.5008007408,7.95793936067055E-07
58132.5008007407,7.28303364994081E-07
58137.5008007407,9.96532191371707E-07
58142.5008007408,6.39589139813204E-07
58147.5008007407,5.7455432080838E-07
58152.5008007407,7.54598977017039E-07
58157.5008007407,7.56122412559211E-07
58162.5008007407,5.97575705464223E-07
58167.5008007407,8.9712609812846E-07
58172.5008007407,8.62649683705334E-07
58177.5008007407,7.61246687917488E-07
58182.5008007407,1.05088791358438E-06
58187.5008007407,6.57565544111046E-07
