MJD,FLUX
54687.6500347222,2.936060168E-07
54697.6500347222,2.990764132E-07
54707.6500347222,3.131870446E-07
54717.6500347222,2.844193585E-07
54727.6500347222,2.098870304E-07
54737.6500347222,1.672738199E-07
54747.6500347222,1.960538671E-07
54757.6500347222,2.394796679E-07
54767.6500347222,1.985633373E-07
54777.6500347222,1.695844224E-07
54787.6500347222,1.497280291E-07
54797.6500347222,2.211466558E-07
54807.6500347222,1.102227251E-07
54817.6500347222,1.401185778E-07
54827.6500347222,1.045944677E-07
54837.6500347222,2.198002437E-07
54847.6500347222,1.088787339E-07
54857.6500347222,4.57523033E-08
54867.6500347222,1.30127457E-07
54877.6500347222,0.000000113
54887.6500347222,1.933408143E-07
54897.6500347222,2.083975853E-07
54907.6500347222,1.998121263E-07
54917.6500347222,2.625811054E-07
54927.6500347222,1.69797318E-07
54937.6500347222,2.133895162E-07
54947.6500347222,2.356130868E-07
54957.6500347222,2.127460675E-07
54967.6500347222,2.738500986E-07
54977.6500347222,1.848963362E-07
54987.6500347222,1.6288741E-07
54997.6500347222,2.373937043E-07
55007.6500347222,0.000000157
55017.6500347222,0.000000142
55027.6500347222,1.468276697E-07
55037.6500347222,1.209254123E-07
55047.6500347222,1.997601862E-07
55057.6500347222,1.918377542E-07
55067.6500347222,1.331241755E-07
55077.6500347222,1.259322389E-07
55087.6500347222,1.093855407E-07
55097.6500347222,1.0872623E-07
55107.6500347222,1.83221948E-07
55117.6500347222,1.767356404E-07
55127.6500347222,2.273908816E-07
55137.6500347222,1.145640443E-07
55147.6500347222,1.704882949E-07
55157.6500347222,1.51222579E-07
55167.6500347222,8.90791586E-08
55177.6500347222,1.202473721E-07
55187.6500347222,0.000000089
55197.6500347222,7.03649942E-08
55207.6500347222,0.000000065
55217.6500347222,0.00000018
55227.6500347222,9.98814666E-08
55237.6500347222,4.22454338E-08
55247.6500347222,2.158514779E-07
55257.6500347222,1.246263859E-07
55267.6500347222,1.583146008E-07
55277.6500347222,0.000000117
55287.6500347222,1.412793777E-07
55297.6500347222,1.626462114E-07
55307.6500347222,1.622766019E-07
55317.6500347222,1.736908988E-07
55327.6500347222,3.321161441E-07
55337.6500347222,1.458492731E-07
55347.6500347222,1.852255736E-07
55357.6500347222,2.180718162E-07
55367.6500347222,1.6705107E-07
55377.6500347222,4.307974546E-07
55387.6500347222,3.190891297E-07
55397.6500347222,5.124720671E-07
55407.6500347222,3.113712796E-07
55417.6500347222,4.346088684E-07
55427.6500347222,3.011799445E-07
55437.6500347222,2.195637537E-07
55447.6500347222,2.597389762E-07
55457.6500347222,1.572673894E-07
55467.6500347222,1.890709832E-07
55477.6500347222,3.668831666E-07
55487.6500347222,3.334501877E-07
55497.6500347222,3.404852261E-07
55507.6500347222,3.189452517E-07
55517.6500347222,3.478934067E-07
55527.6500347222,3.329004704E-07
55537.6500347222,3.546445135E-07
55547.6500347222,2.727982971E-07
55557.6500347222,2.916292204E-07
55567.6500347222,2.652469158E-07
55577.6500347222,3.675736081E-07
55587.6500347222,1.215768785E-07
55597.6500347222,1.383248673E-07
55607.6500347222,1.71673095E-07
55617.6500347222,1.154501606E-07
55627.6500347222,1.630749704E-07
55637.6500347222,2.017937549E-07
55647.6500347222,0.000000259
55657.6500347222,1.435925392E-07
55667.6500347222,2.635099621E-07
55677.6500347222,2.829313406E-07
55687.6500347222,2.403481011E-07
55697.6500347222,2.156133542E-07
55707.6500347222,1.915113164E-07
55717.6500347222,4.065956187E-07
55727.6500347222,1.453066596E-07
55737.6500347222,1.985932144E-07
55747.6500347222,2.797443096E-07
55757.6500347222,1.87276442E-07
55767.6500347222,0.000000184
55777.6500347222,2.669052919E-07
55787.6500347222,1.975573381E-07
55797.6500347222,2.78481622E-07
55807.6500347222,0.000000369
55817.6500347222,2.314005899E-07
55827.6500347222,3.925539334E-07
55837.6500347222,3.477516746E-07
55847.6500347222,0.000000203
55857.6500347222,2.255176205E-07
55867.6500347222,2.492473166E-07
55877.6500347222,2.687240377E-07
55887.6500347222,2.027030962E-07
55897.6500347222,2.913705078E-07
55907.6500347222,2.630729819E-07
55917.6500347222,3.53897829E-07
55927.6500347222,1.79256066E-07
55937.6500347222,3.138125282E-07
55947.6500347222,2.482161517E-07
55957.6500347222,2.494309698E-07
55967.6500347222,0.000000353
55977.6500347222,1.948162428E-07
55987.6500347222,2.788802003E-07
55997.6500347222,1.708958782E-07
56007.6500347222,2.331107944E-07
56017.6500347222,3.072636512E-07
56027.6500347222,2.109365072E-07
56037.6500347222,2.768117365E-07
56047.6500347222,2.243995476E-07
56057.6500347222,0.00000034
56067.6500347222,3.028282923E-07
56077.6500347222,2.765883446E-07
56087.6500347222,2.46476595E-07
56097.6500347222,3.835855059E-07
56107.6500347222,3.697051528E-07
56117.6500347222,2.472970279E-07
56127.6500347222,2.782677411E-07
56137.6500347222,2.216194589E-07
56147.6500347222,3.229457487E-07
56157.6500347222,3.654588572E-07
56167.6500347222,2.208826435E-07
56177.6500347222,3.765617977E-07
56187.6500347222,3.684947658E-07
56197.6500347222,2.647073406E-07
56207.6500347222,1.863489621E-07
56217.6500347222,3.091882265E-07
56227.6500347222,2.280608582E-07
56237.6500347222,2.572339226E-07
56247.6500347222,2.623541367E-07
56257.6500347222,2.82555073E-07
56267.6500347222,3.607743927E-07
56277.6500347222,3.786327854E-07
56287.6500347222,0.000000338
56297.6500347222,3.647945278E-07
56307.6500347222,3.63568412E-07
56317.6500347222,4.011896521E-07
56327.6500347222,3.668437526E-07
56337.6500347222,3.263940437E-07
56347.6500347222,3.95312773E-07
56357.6500347222,4.405382611E-07
56367.6500347222,4.93783647E-07
56377.6500347222,2.665490428E-07
56387.6500347222,3.011488135E-07
56397.6500347222,2.499295205E-07
56407.6500347222,1.653681943E-07
56417.6500347222,2.195547116E-07
56427.6500347222,2.465000917E-07
56437.6500347222,4.519055439E-07
56447.6500347222,4.226558608E-07
56457.6500347222,3.944291464E-07
56467.6500347222,4.436785501E-07
56477.6500347222,3.201528582E-07
56487.6500347222,4.096610929E-07
56497.6500347222,4.789257612E-07
56507.6500347222,5.366635172E-07
56517.6500347222,5.64385445E-07
56527.6500347222,5.027997946E-07
56537.6500347222,4.816784066E-07
56547.6500347222,5.218326194E-07
56557.6500347222,5.574991928E-07
56567.6500347222,0.000000465
56577.6500347222,5.436767174E-07
56587.6500347222,4.803872373E-07
56597.6500347222,6.013868183E-07
56607.6500347222,5.149162787E-07
56617.6500347222,3.383894612E-07
56627.6500347222,3.518676088E-07
56637.6500347222,3.283045558E-07
56647.6500347222,3.892232932E-07
56657.6500347222,6.29652614E-07
56667.6500347222,7.303200476E-07
56677.6500347222,5.893655247E-07
56687.6500347222,5.580727528E-07
56697.6500347222,4.160895065E-07
56707.6500347222,5.264939545E-07
56717.6500347222,4.106389866E-07
56727.6500347222,4.837153759E-07
56737.6500347222,3.454446537E-07
56747.6500347222,0.000000244
56757.6500347222,3.747370592E-07
56767.6500347222,3.473857812E-07
56777.6500347222,3.336155467E-07
56787.6500347222,4.164714129E-07
